constituency_id,SPD_2017_pct,SPD_2022_pct,SPD_change_pp,CDU_2017_pct,CDU_2022_pct,CDU_change_pp,Greens_2017_pct,Greens_2022_pct,Greens_change_pp,FDP_2017_pct,FDP_2022_pct,FDP_change_pp,AfD_2017_pct,AfD_2022_pct,AfD_change_pp,Left_2017_pct,Left_2022_pct,Left_change_pp,turnout_2017_pct,turnout_2022_pct,turnout_change_pp
001,35.583974,30.645745,-4.938229,25.874173,19.787568,-6.086605,14.610535,27.464092,12.853557,8.712663,5.508751,-3.203912,4.665981,5.919131,1.253150,7.004561,3.659626,-3.344935,68.212695,64.453246,-3.759450
002,40.719492,35.397763,-5.321729,29.503595,24.905043,-4.598552,7.982862,15.164064,7.181202,6.914213,4.979954,-1.934259,7.374668,11.160055,3.785387,4.749828,2.743195,-2.006633,62.029584,58.970169,-3.059415
003,37.574030,31.775724,-5.798307,24.923187,19.921392,-5.001795,11.829274,23.567945,11.738672,7.685800,5.041609,-2.644190,6.294251,7.977291,1.683040,7.690252,4.248247,-3.442005,62.050090,58.527203,-3.522887
004,44.652871,37.692849,-6.960022,30.009379,25.722794,-4.286585,6.611323,11.395128,4.783805,5.856997,3.958307,-1.898690,6.735048,12.209952,5.474903,3.889366,2.157009,-1.732357,63.598358,61.571694,-2.026664
005,40.282392,34.422618,-5.859774,34.475360,28.024601,-6.450759,5.857789,9.062328,3.204539,6.273071,4.183496,-2.089576,7.332041,16.834955,9.502914,3.529900,2.081421,-1.448479,61.349115,61.519285,0.170170
006,38.740843,34.226481,-4.514362,32.856259,25.488281,-7.367978,8.128231,13.496908,5.368676,6.834741,4.286702,-2.548038,7.283869,14.383952,7.100083,3.782662,2.307129,-1.475533,64.236461,63.610117,-0.626344
007,42.989945,36.692160,-6.297785,29.832716,25.812905,-4.019811,5.807773,11.788391,5.980619,6.070089,4.760940,-1.309149,8.168619,12.459481,4.290863,4.719391,2.476702,-2.242689,58.036117,55.322276,-2.713841
008,41.474360,35.731242,-5.743118,32.517028,27.245042,-5.271986,5.733877,9.939333,4.205456,7.066542,4.759849,-2.306693,6.836458,13.720835,6.884377,3.947878,2.450663,-1.497215,60.115922,58.717014,-1.398908
009,37.537671,34.771077,-2.766594,30.611136,26.182120,-4.429016,9.295489,16.181316,6.885827,8.302455,5.320545,-2.981910,6.778321,9.499826,2.721505,4.752730,2.574544,-2.178186,67.324307,63.697011,-3.627297
010,44.903537,38.405282,-6.498254,28.062343,25.179132,-2.883211,5.444165,8.956594,3.512429,5.971805,3.932019,-2.039786,8.867062,15.064843,6.197781,4.367238,2.901640,-1.465597,65.174033,61.324154,-3.849879
011,45.618900,39.936961,-5.681939,23.849268,20.948055,-2.901213,4.472604,8.321745,3.849141,5.224046,3.340441,-1.883605,13.672915,18.370879,4.697964,4.777618,3.494948,-1.282670,57.720296,54.135525,-3.584771
012,43.048204,38.936372,-4.111831,32.101025,27.255461,-4.845564,5.757968,8.876893,3.118925,6.574502,4.141051,-2.433451,6.957428,12.840506,5.883078,3.423809,2.681561,-0.742248,59.434762,55.806670,-3.628092
013,40.302923,36.920867,-3.382056,31.639708,25.641087,-5.998621,6.177445,10.563869,4.386424,7.849632,3.905184,-3.944448,7.495900,14.392434,6.896534,4.360549,2.964204,-1.396345,59.344244,56.558333,-2.785911
014,42.553506,31.223788,-11.329718,28.208164,33.681850,5.473686,6.551020,13.641659,7.090639,7.305882,5.143290,-2.162592,8.125870,8.874068,0.748198,4.866641,2.257106,-2.609535,60.400980,62.715817,2.314837
