ags,matched_precincts_only,SPD_2017_pct,SPD_2022_pct,SPD_change_pp,CDU_2017_pct,CDU_2022_pct,CDU_change_pp,Greens_2017_pct,Greens_2022_pct,Greens_change_pp,FDP_2017_pct,FDP_2022_pct,FDP_change_pp,AfD_2017_pct,AfD_2022_pct,AfD_change_pp,Left_2017_pct,Left_2022_pct,Left_change_pp,turnout_2017_pct,turnout_2022_pct,turnout_change_pp,eligible_2017_matched,eligible_2022_matched
01001000,true,25.503048,12.844700,-12.658349,22.613683,27.393405,4.779722,14.268501,24.133734,9.865233,8.925946,4.952265,-3.973681,5.371473,4.279031,-1.092442,6.961949,3.408010,-3.553939,58.552402,37.564833,-20.987569,71553,70566
01002000,true,27.525257,14.628314,-12.896943,21.946765,26.122159,4.175395,19.123271,35.052083,15.928812,10.167621,6.335227,-3.832394,5.466238,2.975852,-2.490386,8.053806,3.697917,-4.355890,50.437409,38.921986,-11.515424,105279,109108
01003000,true,31.138323,19.684722,-11.453601,26.025468,34.707879,8.682411,14.818307,24.203895,9.385588,9.454409,5.159221,-4.295188,6.746334,4.920461,-1.825872,5.947770,2.587521,-3.360248,55.935143,44.885527,-11.049617,159120,156106
01004000,true,28.814923,17.693068,-11.121855,29.169522,45.019329,15.849807,12.992044,14.654320,1.662276,11.642182,5.951632,-5.690551,7.676033,6.850670,-0.825363,3.584731,1.658725,-1.926006,56.298482,37.118056,-19.180426,60332,60480
01051001,true,25.584594,14.781173,-10.803422,37.414030,49.545830,12.131800,8.115543,10.569777,2.454234,15.061898,6.440958,-8.620940,5.433287,7.018993,1.585705,3.026135,1.403799,-1.622336,52.206406,42.587413,-9.618993,2810,2860
01051002,true,25.000000,2.362205,-22.637795,41.379310,57.480315,16.101005,10.344828,11.023622,0.678794,10.344828,8.661417,-1.683410,5.172414,9.448819,4.276405,1.724138,0.787402,-0.936736,67.836257,53.556485,-14.279772,171,239
01051003,true,29.965157,17.647059,-12.318098,35.191638,49.019608,13.827970,8.710801,2.941176,-5.769625,9.059233,6.862745,-2.196488,7.665505,9.803922,2.138416,1.393728,0.490196,-0.903532,57.370518,41.379310,-15.991208,502,493
01051004,true,24.822695,13.281250,-11.541445,47.281324,54.687500,7.406176,3.782506,9.114583,5.332077,9.929078,9.114583,-0.814495,5.200946,5.208333,0.007388,3.782506,0.520833,-3.261673,56.423841,49.613402,-6.810439,755,776
01051005,true,21.739130,12.371134,-9.367996,37.391304,52.577320,15.186015,13.043478,6.185567,-6.857911,6.956522,6.185567,-0.770955,10.434783,7.216495,-3.218288,2.608696,4.123711,1.515016,80.555556,66.225166,-14.330390,144,151
01051006,true,26.027397,14.367816,-11.659581,38.904110,52.873563,13.969454,5.753425,9.195402,3.441978,15.890411,9.195402,-6.695009,5.479452,6.609195,1.129743,2.739726,1.149425,-1.590301,61.754967,56.360709,-5.394258,604,621
01051008,true,5.000000,5.263158,0.263158,45.000000,78.947368,33.947368,0.000000,5.263158,5.263158,30.000000,5.263158,-24.736842,10.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,75.000000,61.290323,-13.709677,28,31
01051010,true,14.285714,14.492754,0.207039,55.102041,62.318841,7.216800,5.102041,8.695652,3.593611,6.122449,2.898551,-3.223898,9.183673,7.246377,-1.937297,5.102041,0.000000,-5.102041,55.307263,40.462428,-14.844835,179,173
01051011,true,30.541440,17.050998,-13.490443,29.998248,46.252772,16.254524,8.585947,9.578714,0.992767,16.032942,10.421286,-5.611656,7.131593,7.294900,0.163307,2.873664,1.396896,-1.476768,54.768237,45.192593,-9.575644,10528,10099
01051012,true,23.564356,14.180929,-9.383427,42.178218,52.322738,10.144521,4.950495,6.112469,1.161974,14.455446,11.246944,-3.208502,6.138614,7.334963,1.196349,1.782178,0.244499,-1.537679,62.348668,48.524203,-13.824465,826,847
01051013,true,29.967121,15.237467,-14.729654,38.139972,53.298153,15.158181,6.106153,10.620053,4.513900,13.151714,7.058047,-6.093667,6.200094,4.287599,-1.912495,2.019728,0.923483,-1.096245,51.675443,36.760125,-14.915318,4178,4173
01051014,true,29.050279,19.230769,-9.819510,30.167598,48.076923,17.909325,12.290503,9.615385,-2.675118,20.111732,8.974359,-11.137373,2.234637,2.564103,0.329466,2.234637,3.205128,0.970491,56.172840,50.632911,-5.539928,324,316
01051015,true,19.021739,13.650794,-5.370945,47.010870,49.523810,2.512940,10.326087,10.158730,-0.167357,8.967391,7.619048,-1.348344,5.434783,1.904762,-3.530021,2.989130,0.634921,-2.354210,56.901840,48.710167,-8.191674,652,659
01051016,true,25.646026,14.620298,-11.025728,37.493905,49.325763,11.831858,8.629937,9.794180,1.164244,13.505607,9.226402,-4.279205,7.020965,7.594038,0.573073,2.486592,1.632363,-0.854229,59.355391,39.960740,-19.394650,3506,3566
01051017,true,28.947368,13.114754,-15.832614,34.210526,51.639344,17.428818,8.552632,8.196721,-0.355910,13.815789,9.836066,-3.979724,7.236842,5.737705,-1.499137,3.289474,0.819672,-2.469802,66.233766,48.221344,-18.012422,231,253
01051019,true,14.730878,4.729730,-10.001148,56.373938,60.472973,4.099035,7.082153,8.783784,1.701631,9.348442,10.810811,1.462369,5.665722,6.756757,1.091034,2.266289,1.351351,-0.914938,58.196721,48.148148,-10.048573,610,621
01051020,true,25.561798,10.951009,-14.610789,38.483146,49.567723,11.084577,12.921348,12.103746,-0.817602,10.393258,11.527378,1.134119,3.651685,6.340058,2.688372,2.247191,2.017291,-0.229900,59.733777,52.798790,-6.934987,601,661
01051021,true,33.898305,19.105691,-14.792614,32.203390,50.000000,17.796610,5.084746,9.756098,4.671352,8.813559,8.943089,0.129530,9.491525,3.658537,-5.832989,3.728814,1.219512,-2.509301,50.943396,43.402778,-7.540618,583,576
01051022,true,39.884393,23.247232,-16.637161,28.034682,42.804428,14.769746,3.468208,8.118081,4.649873,11.271676,10.701107,-0.570569,10.404624,5.535055,-4.869569,3.179191,0.738007,-2.441183,66.666667,51.016636,-15.650031,525,541
01051023,true,19.629630,11.004785,-8.624845,49.629630,55.502392,5.872763,4.814815,7.655502,2.840688,10.370370,7.655502,-2.714868,8.148148,9.569378,1.421230,0.740741,1.435407,0.694666,55.421687,39.813084,-15.608603,498,535
01051024,true,24.293785,10.457516,-13.836269,40.395480,54.248366,13.852886,4.661017,6.318083,1.657066,12.994350,8.932462,-4.061888,8.615819,9.586057,0.970237,2.401130,0.653595,-1.747535,63.386525,41.109155,-22.277370,1128,1136
01051026,true,25.170068,11.314985,-13.855083,40.136054,55.351682,15.215628,7.936508,7.951070,0.014562,9.977324,6.727829,-3.249496,6.349206,7.033639,0.684433,1.587302,1.223242,-0.364060,67.371601,49.549550,-17.822052,662,666
01051027,true,25.355450,13.091922,-12.263528,44.312796,53.760446,9.447649,7.819905,8.635097,0.815192,7.109005,8.635097,1.526093,6.635071,5.849582,-0.785489,3.791469,0.835655,-2.955815,58.734525,50.206897,-8.527629,727,725
01051028,true,30.726257,17.525773,-13.200484,36.033520,41.924399,5.890879,5.586592,7.903780,2.317188,13.966480,11.340206,-2.626274,4.189944,7.216495,3.026551,3.072626,0.687285,-2.385340,58.054226,48.292683,-9.761544,627,615
01051030,true,19.230769,11.206897,-8.023873,44.615385,58.620690,14.005305,7.692308,8.620690,0.928382,13.846154,9.482759,-4.363395,5.384615,6.896552,1.511936,0.000000,0.000000,0.000000,55.508475,49.152542,-6.355932,236,236
01051032,true,21.028037,9.815951,-11.212086,49.532710,55.214724,5.682014,6.542056,8.588957,2.046901,12.616822,11.656442,-0.960381,3.271028,4.294479,1.023450,3.271028,1.226994,-2.044034,72.818792,54.605263,-18.213529,298,304
01051033,true,26.923077,13.636364,-13.286713,30.769231,31.818182,1.048951,26.923077,36.363636,9.440559,11.538462,0.000000,-11.538462,3.846154,13.636364,9.790210,0.000000,0.000000,0.000000,65.853659,53.658537,-12.195122,41,41
01051034,true,17.279412,16.743649,-0.535763,41.360294,51.270208,9.909914,4.963235,6.581986,1.618751,16.911765,8.083141,-8.828624,7.904412,8.429561,0.525149,3.125000,1.501155,-1.623845,54.099951,42.367150,-11.732802,2061,2070
01051035,true,15.625000,21.212121,5.587121,45.833333,54.545455,8.712121,4.166667,3.030303,-1.136364,12.500000,3.030303,-9.469697,7.291667,4.545455,-2.746212,4.166667,3.030303,-1.136364,62.820513,45.205479,-17.615033,156,146
