ags,municipality,SPD_ran_both,SPD_2018_pct,SPD_2023_pct,SPD_change_pp,CDU_ran_both,CDU_2018_pct,CDU_2023_pct,CDU_change_pp,Greens_ran_both,Greens_2018_pct,Greens_2023_pct,Greens_change_pp,FDP_ran_both,FDP_2018_pct,FDP_2023_pct,FDP_change_pp,AfD_ran_both,AfD_2018_pct,AfD_2023_pct,AfD_change_pp,Left_ran_both,Left_2018_pct,Left_2023_pct,Left_change_pp,turnout_2018_pct,turnout_2023_pct,turnout_change_pp
01001000,"Flensburg, Stadt",true,18.236295,13.511640,-4.724655,true,19.357106,19.149091,-0.208014,true,18.820744,23.607969,4.787225,true,7.719908,5.666642,-2.053266,false,,,,true,7.475771,4.134131,-3.341640,35.563018,35.739236,0.176218
01002000,"Kiel, Landeshauptstadt",true,29.853408,21.982267,-7.871141,true,23.538846,22.946392,-0.592454,true,20.429794,27.129963,6.700169,true,6.464855,4.509504,-1.955350,true,5.936585,5.983042,0.046457,true,7.219686,4.851393,-2.368294,45.802052,45.968850,0.166799
01003000,"Lübeck, Hansestadt",true,27.615189,22.967950,-4.647239,true,24.743839,23.902097,-0.841742,true,15.399812,22.587839,7.188027,true,4.162202,5.648362,1.486160,true,5.072998,8.581247,3.508249,true,4.851996,3.122239,-1.729757,34.289373,41.561475,7.272103
01004000,"Neumünster, Stadt",true,27.363140,25.064293,-2.298847,true,34.031879,29.293769,-4.738110,true,16.365493,12.716123,-3.649370,true,5.851796,7.529179,1.677383,false,,,,true,4.257870,2.528190,-1.729680,35.142430,40.031621,4.889191
01051001,Albersdorf,true,17.460317,21.174612,3.714294,true,47.619048,39.030814,-8.588234,false,,,,true,11.085509,10.297603,-0.787906,false,,,,false,,,,48.665511,48.635579,-0.029933
01051002,Arkebek,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,61.077844,72.375691,11.297846
01051003,Averlak,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,48.360656,55.859375,7.498719
01051004,Bargenstedt,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,50.391645,56.538462,6.146817
01051005,Barkenholm,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,69.594595,74.838710,5.244115
01051006,Barlt,true,22.559433,20.259481,-2.299952,true,30.601922,33.233533,2.631611,false,,,,false,,,,false,,,,false,,,,60.476190,62.157810,1.681620
01051010,Brickeln,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,44.444444,54.651163,10.206718
01051011,"Brunsbüttel, Stadt",true,30.993442,24.729320,-6.264122,true,33.422395,34.928540,1.506146,true,11.027447,9.787787,-1.239660,true,18.217148,17.994803,-0.222345,false,,,,false,,,,39.289720,45.596700,6.306980
01051012,Buchholz,false,,,,true,43.435213,40.406754,-3.028459,false,,,,false,,,,false,,,,false,,,,53.010626,55.416192,2.405566
01051013,Büsum,true,27.882636,24.586078,-3.296558,true,38.675360,42.691828,4.016468,false,,,,false,,,,false,,,,false,,,,51.685134,51.122544,-0.562589
01051014,Büsumer Deichhausen,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,53.687316,60.493827,6.806512
