Wahlkreis;Wahlberechtigte;Wähler;Gültige Erststimmen;Gültige Zweitstimmen;CDU I;CDU II;SPD I;SPD II;GRÜNE I;GRÜNE II;FDP I;FDP II;DIE LINKE. I;DIE LINKE. II;AfD Niedersachsen I;AfD Niedersachsen II;Bündnis C I;Bündnis C II;BGE I;BGE II;DM I;DM II;Die Grauen I;Die Grauen II;FREIE WÄHLER I;FREIE WÄHLER II;LKR Niedersachsen I;LKR Niedersachsen II;ÖDP I;ÖDP II;Die PARTEI I;Die PARTEI II;Tierschutzpartei I;Tierschutzpartei II;PIRATEN I;PIRATEN II;V-Partei³ I;V-Partei³ II;Einzelbewerber 1;
005;71054;43591;43279;43344;16373;14943;17306;17460;2764;2539;2358;2719;1421;1530;3057;3178;;;;34;;55;;;;166;;4;;40;;219;;332;;82;;43;;
033;66499;44807;44504;44604;16591;14975;18573;17550;2425;3287;2156;3236;1545;1697;3021;2874;;;;32;;38;;;;132;;10;;37;;222;;308;193;143;;63;;
040;68143;41135;40813;40925;16404;14278;14838;14914;3768;3831;2130;2889;1130;1425;2543;2661;;;;48;;63;;;;125;;14;;38;;213;;300;;94;;32;;
065;56855;29896;29538;29705;10052;8393;12317;11534;1582;1974;;2080;1741;1711;3256;3118;;;;28;;36;;;590;230;;1;;24;;178;;296;;81;;21;;
015;56094;37477;37216;37274;15408;14662;13103;12622;2391;3171;1847;2507;1176;1275;1683;1832;;;;40;;32;;;1608;649;;10;;21;;158;;203;;69;;23;;
026;73598;43798;42967;43475;8282;7314;19272;17303;5328;6511;1988;2179;5523;5943;;2543;;;;121;;101;260;;;92;;8;;58;1404;741;;285;475;206;;70;435;
047;83271;53394;52995;53098;19517;17974;18747;19476;6092;4848;3145;3834;2034;2236;3460;3540;;;;89;;76;;;;183;;8;;43;;251;;388;;116;;36;;
084;58351;34545;33797;34281;10008;9765;18163;16689;2096;2011;1918;1746;1612;1245;;2139;;;;32;;22;;;;68;;5;;40;;202;;231;;57;;29;;
003;72709;45116;44819;44914;12144;11194;18935;16876;4076;5313;2688;3452;2566;3454;2720;2827;;;;83;;71;;;;137;;14;;84;1130;765;;362;;207;;75;560;
006;78457;50398;50023;50097;18228;16460;20652;19408;3758;4072;2289;3424;1454;1895;3642;3649;;;;35;;81;;;;152;;12;;34;;273;;422;;95;;85;;
020;56174;35430;34794;35140;11057;10167;16390;15078;2671;2658;3335;3328;1341;1145;;2111;;;;39;;36;;;;80;;3;;19;;139;;236;;70;;31;;
053;59152;37534;37096;37346;14605;13591;13928;12873;2920;3533;2958;2786;1626;1501;;2010;;;;51;;82;;;1059;344;;18;;40;;175;;241;;71;;30;;
018;55335;34065;33677;33822;10079;9958;15830;14907;1934;2244;2168;2451;1064;1245;2249;2288;;;;36;;39;;;;85;;3;;20;353;227;;257;;39;;23;;
046;67631;40510;40214;40285;15175;14024;14979;14302;2055;2713;2421;3130;1528;1632;3492;3451;;;;30;;47;;;564;287;;10;;38;;241;;287;;61;;32;;
064;75817;50973;50643;50736;17880;16149;18102;17298;4886;5218;4389;5521;1791;2132;2812;2886;;;;76;;64;;;783;501;;11;;41;;273;;403;;88;;75;;
083;71933;43410;43071;43145;17608;15345;16423;16887;3214;3099;1781;2632;1555;1711;2490;2635;;;;43;;28;;;;79;;8;;36;;247;;276;;72;;47;;
048;84076;54303;53878;54047;18330;17162;17795;17330;7931;7082;3129;3944;3211;3430;3482;3592;;;;219;;81;;;;186;;11;;63;;267;;506;;104;;70;;
028;84183;55750;54963;55557;13968;10890;22762;21646;8812;9403;2919;4082;4121;5145;;2415;;;;119;;96;;;;152;;7;;95;1826;807;;372;555;241;;87;;
021;76472;46337;45992;46082;15758;13708;19646;17108;3626;5517;1859;2915;2427;2879;2676;2810;;;;108;;63;;;;97;;6;;47;;337;;317;;99;;71;;
027;75002;49301;48940;49079;14100;12008;20964;20193;5064;5753;2285;3516;2803;3306;2833;2930;;;;77;;91;;;;116;;11;;61;649;431;;337;242;186;;63;;
052;69395;46742;46453;46524;18436;16234;14803;13489;4899;5649;3306;4553;2045;2078;2964;3084;;;;59;;56;;;;291;;28;;56;;246;;508;;97;;96;;
058;59197;36595;36361;36364;12368;12280;17515;15005;1636;2523;1334;2234;1198;1441;1949;2082;;;;30;;39;;;361;245;;8;;21;;130;;256;;47;;23;;
042;60658;37190;36669;36987;16179;14224;12214;12059;3328;2758;3280;3971;1668;1337;;1866;;;;35;;30;;;;149;;4;;105;;152;;214;;62;;21;;
045;71141;46549;46285;46349;20040;18489;15696;15092;2405;2891;3087;3851;1289;1402;3227;3446;;;;42;;51;;;541;345;;5;;40;;232;;336;;82;;45;;
087;66756;40444;40110;40177;14751;13208;17501;17024;2455;2579;1978;2892;1292;1447;2133;2264;;;;37;;32;;;;105;;11;;33;;142;;316;;67;;20;;
056;75601;45260;44975;45038;19536;17170;15382;14871;2740;3458;2729;3627;1722;1728;2866;3060;;;;73;;41;;;;244;;14;;30;;213;;368;;105;;36;;
025;69952;44567;44184;44321;13959;12873;20969;17016;2203;4094;2335;3820;1850;2316;2868;3133;;;;63;;77;;;;127;;15;;48;;256;;307;;137;;39;;
051;60522;39392;39205;39244;15150;13764;14400;12529;2762;3569;2260;3730;1230;1492;2626;2839;;;;37;;36;;;777;465;;8;;43;;170;;460;;66;;36;;
071;82518;49414;48698;49121;18038;15470;20863;19785;3133;4091;3458;4034;2357;2116;;2545;;;;51;;39;;;849;208;;13;;50;;232;;371;;74;;42;;
