Wahlkreis;Wahlberechtigte;Wähler;Gültige Erststimmen;Gültige Zweitstimmen;SPD I;SPD II;CDU I;CDU II;GRÜNE I;GRÜNE II;FDP I;FDP II;AfD I;AfD II;DIE LINKE. I;DIE LINKE. II;dieBasis I;dieBasis II;Bündnis C I;Bündnis C II;DiB I;DiB II;ZENTRUM I;ZENTRUM II;Die Friesen I;Die Friesen II;HAIE I;HAIE II;sonstige (Partei) I;sonstige (Partei) II;FREIE WÄHLER I;FREIE WÄHLER II;ÖDP I;ÖDP II;Die Humanisten Niedersachsen I;Die Humanisten Niedersachsen II;Die PARTEI I;Die PARTEI II;Gesundheitsforschung I;Gesundheitsforschung II;Tierschutzpartei I;Tierschutzpartei II;PIRATEN I;PIRATEN II;SGV I;SGV II;Team Todenhöfer I;Team Todenhöfer II;Volt I;Volt II;Einzelbewerber 1;Einzelbewerber 2;
001;64636;41660;41402;41425;13698;12695;9082;8197;11029;11377;1719;2282;2329;2452;1342;1516;621;528;;;;;;;;;;;;;;203;194;;157;139;;556;;86;;586;396;244;;;;;538;564;297;;
005;71402;43926;43448;43576;14324;15000;13713;12212;4382;3949;1733;1823;7434;7336;1027;907;835;540;;;;;;;;;;;;;;273;;;;84;;423;;126;;616;;146;;;;;;141;;;
084;58937;34573;33965;34152;14494;13912;8308;8043;3909;2905;1298;1173;4921;5274;;915;1035;564;;;;;;;;;;;;;;198;;;;41;;309;;98;;509;;116;;;;;;95;;;
083;72870;43205;42742;42786;13623;14352;15249;12625;4322;4711;1165;1568;5323;5786;1288;1176;582;494;;;;;;;;;;;;;1190;559;;;;58;;469;;137;;578;;133;;;;;;140;;;
035;58217;33817;33423;33472;11044;11781;10987;9363;4291;3982;1087;1297;4410;4561;788;737;816;458;;;;;;;;;;;;;;203;;;;40;;208;;96;;521;;137;;;;;;88;;;
069;59315;30599;30148;30231;10797;11636;7441;6625;3189;3271;687;1131;3963;4287;1134;1012;;204;;;;;;;;;;;;;1555;657;;;;66;705;465;;122;;552;;95;;;;;;108;;677;
060;64796;38364;37457;37986;13073;12987;14548;10844;5853;6458;1738;1512;;3260;2245;1143;;389;;;;;;;;;;;;;;234;;;;59;;260;;114;;522;;123;;;;;;81;;;
025;71155;39695;39306;39367;12633;11952;5631;5375;11277;11349;937;1308;3117;3118;2708;2857;477;362;;;;;;;;;;;;;;140;;;208;137;1410;1097;;104;;765;452;367;;;;;456;436;;;
077;56674;31523;31251;31312;9951;9810;7992;7130;8305;7704;1005;1326;1928;1970;1355;1430;435;277;;;;;;;;;;;;;;128;;;;92;;422;;72;;473;;96;;;;;280;382;;;
041;60526;35883;35519;35570;10928;11391;14196;11585;3472;3844;2108;2393;3747;3928;1068;774;;282;;;;;;;;;;;;;;344;;;;50;;261;;105;;424;;110;;;;;;79;;;
074;73561;45347;44795;44924;14716;15556;16176;13785;7117;6790;1944;1995;3772;3775;;951;837;527;233;;;;;;;;;;;;;233;;;;81;;336;;93;;497;;121;;;;;;184;;;
057;66352;38386;37778;37730;12579;12932;15425;12726;3464;3879;1225;1377;4133;4040;;696;;465;;;;;;;;;;;;;;285;;;;40;;256;;86;952;773;;108;;;;;;67;;;
043;53093;30549;30223;30287;9919;10166;10351;9141;3148;3596;2251;1405;3613;3762;941;675;;203;;;;;;;;;;;;;;264;;;;48;;228;;105;;448;;132;;;;;;114;;;
037;75682;41530;40954;41140;13829;14233;12653;10982;5381;5351;1421;1722;5407;5607;1183;968;1080;641;;;;;;;;;;;;;;219;;;;62;;362;;162;;596;;133;;;;;;102;;;
052;70662;44992;44391;44282;11093;12206;15439;13529;9336;7989;1944;2358;4212;4256;1228;1060;1139;812;;;;;;;;;;;;;;475;;;;74;;375;;126;;751;;152;;;;;;119;;;
006;77931;49572;49114;49152;18918;16823;13239;12528;5803;6634;1530;2107;7015;7070;1253;1134;1028;687;;;;;;;;;;;;;;299;;;;86;;424;;138;;756;;190;;;;;328;276;;;
038;66333;40099;39679;39733;14160;13678;13612;12522;4017;4340;1504;1814;4121;4464;850;792;678;523;;;;;;;;;;;;;;268;;;;58;;287;;113;737;660;;131;;;;;;83;;;
078;64052;40081;39568;39864;15376;11582;9535;9154;9280;11085;1449;1992;;2246;1755;1567;862;318;;;;;;;;;;;;;;109;;;;107;827;454;;80;;554;;122;;;;;484;494;;;
013;74615;42201;41059;41765;16894;15420;11959;10709;4210;4412;1604;1631;;6011;2358;1238;1673;435;;;;;;;;;;;;;1714;425;;;;64;;404;;135;;675;;110;;;;;;96;647;;
045;66711;37812;37376;37456;10131;11374;10771;10255;6857;5055;1820;2118;5549;5546;956;956;475;374;;;;;;;;;;;;;817;492;;;;71;;333;;124;;506;;138;;;;;;114;;;
048;52079;33775;33395;33526;11636;10676;9473;8817;5866;5857;1466;1582;3665;3504;1289;929;;565;;;;;;;;;;;;;;323;;;;51;;342;;130;;555;;112;;;;;;83;;;
070;86499;51440;50365;50958;24660;20425;13315;11993;5132;5919;2140;2339;;5998;2336;1220;2782;673;;;;;;;;;;;;;;419;;;;62;;525;;196;;860;;189;;;;;;140;;;
066;78012;44623;44095;44261;12090;12056;17474;16512;3359;3689;3953;2958;5994;6107;1225;985;;345;;;;;;;;;;;;;;268;;;;70;;322;;140;;479;;178;;;;;;152;;;
027;83350;52822;52381;52516;15269;15532;8508;7688;18610;17143;2201;2763;2734;2750;2430;2711;;399;;;;;;;;;;;190;;;246;;;238;198;1129;1010;;139;;811;425;317;;;;;647;809;;;
076;70691;44717;43976;44304;12705;14466;19495;15993;6335;6327;2205;2019;;2972;1658;845;1578;415;;;;;;;;;;;;;;135;;;;77;;262;;90;;450;;120;;;;;;133;;;
053;82239;50328;49873;49913;16408;16273;17133;15172;6758;6895;1761;2129;5183;5359;1551;1321;;465;;;;;;;;;;;;;1079;624;;;;67;;416;;135;;691;;134;;;;;;232;;;
062;63042;36775;36114;36569;12101;10995;6689;5862;11286;10421;1764;1823;;2563;3017;2039;1257;381;;;;;;;;;;;;;;178;;;;133;;430;;93;;643;;260;;;;;;748;;;
058;58883;33551;32768;32922;11403;12643;10737;9336;5068;3895;1451;1354;3190;3187;;632;919;546;;;;;;;;;;;;;;200;;;;51;;222;;88;;562;;130;;;;;;76;;;
064;76886;49182;48775;48851;16123;16316;14547;13083;8431;7469;2194;3028;4629;4736;1243;1141;;455;;;;;;;;;;;;;1608;803;;;;80;;375;;157;;796;;189;;;;;;223;;;
047;55200;33374;32553;33011;9630;9404;10386;8752;6556;5985;1670;1314;;4056;2262;1445;2049;546;;;;;;;;;;;;;;224;;;;41;;372;;112;;556;;140;;;;;;64;;;
067;69037;40850;39823;40372;10916;9489;19924;17955;3347;3524;1412;1955;;5301;2316;801;;263;;;;;1908;;;;;;;;;151;;;;61;;201;;106;;316;;86;;;;;;163;;;
029;71987;45512;45065;45127;16846;15710;13085;11840;5663;6369;1625;2166;4779;4941;1052;997;687;497;;;;;;;;;;;;;1328;782;;;;78;;410;;161;;781;;243;;;;;;152;;;
033;62516;39454;38891;39057;14817;13904;11585;10396;5057;5694;1431;1742;4236;4330;1016;862;749;364;;;;;;;;;;;;;;259;;;;62;;362;;108;;661;;192;;;;;;121;;;
008;71848;42187;41640;41703;14701;14901;12274;11362;4231;4145;2693;1985;5708;5722;1048;1022;985;607;;;;;;;;;;;;;;302;;;;47;;327;;166;;795;;185;;;;;;137;;;
059;58238;34523;33655;33985;12596;11974;11404;9861;4172;4198;1564;1225;;3849;1688;879;2231;549;;;;;;;;;;;;;;259;;;;61;;242;;98;;603;;116;;;;;;71;;;
015;55442;30805;30072;30429;12424;11395;8708;7710;4808;4427;1006;1254;;3004;1466;837;1660;304;;;;;;;;;;;;;;319;;;;51;;312;;103;;461;;121;;;;;;131;;;
046;74721;46919;46415;46468;12603;15672;14218;12850;6068;5514;2374;2198;6142;6493;1366;1177;;340;;;;;;;;;;;;;1179;655;;;;60;;348;;164;;706;;187;;;;;;104;2465;;
063;65695;40310;39490;40068;13814;13129;8776;7292;11328;10715;2034;2065;;2320;2379;1651;;400;;;;;;;;;;;;;;245;;;;117;;385;;108;;635;;239;;;;;1159;767;;;
042;55452;34304;33952;34007;13178;12304;10392;9197;2920;3707;1161;1420;4937;4758;990;857;;246;;;;;;;;;;;;;;270;;;;53;;297;;112;;537;;127;;;;;;122;374;;
020;74229;41906;41434;41542;13557;13771;12019;9939;7646;8416;1299;1868;3433;3533;1690;1781;447;357;;;;;;;;;;;;;497;272;;;;73;846;565;;84;;541;;176;;;;;;166;;;
011;60476;32739;32321;32361;15932;12924;5882;6779;2046;2693;1032;1081;5741;5945;1103;1131;585;341;;;;;;;;;;;;;;233;;;;51;;328;;134;;543;;105;;;;;;73;;;
068;83322;51219;50673;50748;10299;11553;26845;23708;6102;5639;1803;2502;4470;4605;1154;934;;218;;;;;;;;;;;;;;320;;;;76;;308;;119;;426;;144;;;;;;196;;;
079;86223;53334;52926;53031;16522;18009;22203;19668;6416;5658;2258;2590;4249;4250;1278;980;;230;;;;;;;;;;;;;;239;;;;56;;357;;156;;553;;152;;;;;;133;;;
004;79163;48742;48280;48354;18470;18226;14276;12438;5080;5510;1463;1914;5650;5904;1066;1043;1026;830;;;;;;;;;;;;;1249;631;;;;96;;369;;182;;790;;187;;;;;;234;;;
071;81692;45926;44959;45436;17446;16988;14576;11561;5353;5811;2941;2331;;5038;2439;1168;;348;;;;;;;;;;;;;2204;477;;;;76;;504;;150;;679;;169;;;;;;136;;;
028;59594;37685;37229;37353;14051;13086;10983;10090;4520;4984;1618;1719;4717;4577;1340;925;;256;;;;;;;;;;;;;;338;;;;65;;318;;113;;570;;188;;;;;;124;;;
087;67314;39651;39143;39179;15077;15074;12324;10871;3058;3561;1121;1517;5032;5308;803;812;385;390;;;;;;;587;;;;;;;315;;;;41;;261;;107;756;738;;129;;;;;;55;;;
022;64533;41593;41173;41242;15778;15860;13659;11115;3835;4587;1168;1635;4634;4953;1077;991;533;390;;;;;;;;;;;;;;250;;;;56;;272;;120;;593;489;323;;;;;;97;;;
031;66276;40599;40227;40291;13494;13588;12946;11473;4736;5158;2397;2325;4697;4702;905;751;;421;;;;;;;;;;;;;;247;;;;71;;285;;105;1052;900;;162;;;;;;103;;;
016;70918;41888;41289;41651;11524;11760;8526;7052;14551;13963;1763;1900;;1901;2999;2727;;277;;;;;;;;;;;;;;157;;;;145;1291;640;;100;;456;;167;;;;;635;406;;;
054;69671;43228;42796;42924;12633;13740;19689;16033;4325;4373;1665;1745;4484;4323;;754;;296;;;;;;;;;;;;;;412;;;;69;;306;;103;;529;;133;;;;;;108;;;
049;74523;45668;45292;45346;13241;13808;9267;8694;13566;11854;1796;2195;3814;3761;1801;2192;859;700;;;;;;;;;;;;;;259;;;;91;948;672;;131;;594;;199;;;;;;196;;;
009;59210;37715;37304;37327;13752;12979;11074;9773;4831;6040;2404;1986;3525;3546;1027;961;;454;;;;;;;;;691;;;;;207;;;;67;;392;;101;;527;;155;;;;;;139;;;
036;83459;49540;49053;49105;17425;17630;13881;12814;6680;6788;1338;2035;5598;5664;939;1043;;424;;;;;;;;;;;;;2253;882;;;;79;939;519;;176;;785;;161;;;;;;105;;;
050;69425;43329;42739;42559;12455;11934;15514;13164;6370;6875;1749;2145;4419;4580;1211;1072;1021;743;;;;;;;;;;;;;;497;;;;74;;357;;147;;705;;169;;;;;;97;;;
026;72442;45692;45206;45382;15523;15245;9705;9036;11988;10723;1905;2070;3514;3463;1955;1657;;397;;;;;;;;;;;;;;228;;;;160;;688;;95;;784;;268;;;;;616;568;;;
